cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:06.03,0,0,0,11740,0,99%,4021,0.00,6.02,0,0,4096,18,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11632,0,100%,4019,0.00,6.02,0,0,4096,19,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11632,0,100%,4018,0.00,6.02,0,0,4096,12,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11660,0,99%,4019,0.00,6.02,0,0,4096,21,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11632,0,99%,4017,0.00,6.02,0,0,4096,13,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11632,0,99%,4017,0.00,6.02,0,0,4096,21,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11664,0,99%,4019,0.00,6.03,0,0,4096,26,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11672,0,100%,4020,0.00,6.03,0,0,4096,12,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11636,0,100%,4019,0.00,6.03,0,0,4096,19,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.07,0,0,0,11632,0,100%,4017,0.00,6.07,0,0,4096,18,6.07,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11632,0,100%,4021,0.00,6.03,0,0,4096,20,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11632,0,100%,4018,0.00,6.02,0,0,4096,26,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11684,0,99%,4018,0.01,6.01,0,0,4096,26,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.01,0,0,0,11648,0,99%,4019,0.00,6.01,0,0,4096,12,6.01,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11672,0,100%,4020,0.00,6.02,0,0,4096,20,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11628,0,100%,4018,0.00,6.02,0,0,4096,23,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11684,0,99%,4018,0.00,6.03,0,0,4096,23,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11660,0,100%,4018,0.00,6.02,0,0,4096,26,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11700,0,100%,4019,0.00,6.01,0,0,4096,11,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11648,0,100%,4018,0.00,6.02,0,0,4096,18,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11688,0,99%,4020,0.00,6.02,0,0,4096,22,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11688,0,100%,4019,0.00,6.02,0,0,4096,17,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.04,0,0,0,11616,0,100%,4019,0.00,6.03,0,0,4096,19,6.04,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11580,0,99%,4019,0.00,6.03,0,0,4096,17,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11580,0,100%,4019,0.00,6.02,0,0,4096,15,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11576,0,99%,4018,0.00,6.03,0,0,4096,21,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11688,0,99%,4019,0.00,6.02,0,0,4096,16,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11632,0,99%,4019,0.00,6.01,0,0,4096,15,6.02,0,0,0,0,0,1,0
